customer_id,company_name,group_key_promoters,activity_company,address_company,customer_creation_date,meeting_date,amount(In Cr.)
A-100051,RISHI FIBC SOLUTIONS PRIVATE LIMITED,Arvind Nopany,PACKAGING MATERIALS,"7th Floor, Indra Complex Manjalpur,Vadodara,Gujarat 390004",2016/06/23 16:33:14.223,2016/09/21,307
A-300012,GOKUL REFOILS AND SOLVENTS LTD,Balwant Singh Rajput,Manufacturing of Vegetable Oil,"No 43 Gokul House , Swastik Cross road, Shreemali Society , Opposite Shikhar Building navrangpura, Ahmedabad",2016/08/27 23:35:09.897,2016/10/06,1812
A-300014,Gokul Agri International Ltd,Balvantsinh Rajput,OILS & FATS :MFG. OF VEGETABLE OILS,"No 43, 3 rd Floor Gokul House , Swastik Cross road, Shreemali Society , Opposite Shikhar Building navrangpura, Ahmedabad",2016/08/27 23:35:09.993,2016/10/06,226
A-300015,Asahi Songwon,Paru M Jaykrishna/ Munjal Mrugesh Jaykrishna/Gokul M Jaykrishna,Colors and Dyes,"13 Aaryan Corporate park, Nr Shilaj Railway crossing, thaltej Shilaj road Ahmedabad",2016/08/27 23:35:10,2016/07/19,318.61
A-300016,Aksharchem,Paru M Jaykrishna/ Munjal Mrugesh Jaykrishna/Gokul M Jaykrishna,Colors and Dyes,"Akshar House  Chhatral Kadi road Indrad- 382715, Mehsana India",2016/08/27 23:35:10,2016/07/19,198.58
A-300018,GSFC,Gujarat State Investments Limited,Fertiliser production,"P.O. Fertilizernagar ,City: BARODA,Dist: BARODA,State:Gujarat, India,Pin: 391750",2016/08/27 23:35:10.010,2016/07/26,41.7
A-300020,Sintex Industries ltd,BVM FINANCE PVT LTD/OPEL SECURITIESW PVT LTD/KOLON INVESTMENT PVT LTD,Water Storage Tanks.,"KALOL (NORTH GUJARAT) ,City: KALOL,Dist:Gandhinagar,State: Gujarat, India,Pin: 382721",2016/08/27 23:35:10.037,2016/08/24,892.43
A-300021,Nandan Exim Ltd,Brijmohan Chiripal/CHIRIPAL INDUSTRIES LIMITED/Chiripal Exim LLP/Devkinandan Corporation LLP,Manufacturing/Trading of Textile products,"Corporate off:Chiripal House,Shivranjani Cr. Roads Satellite,City: Ahmedabad,Dist: Ahmedabad,State: Gujarat, India,Pin:380015",2016/08/27 23:35:10.057,2016/10/10,205.38
C-100001,BHARAT OMAN REFINERIES LTD,BPCL,PETROCHEM,deg,2016/08/27 23:38:41.587,2016/10/20,17120.06
C-100002,BPCL,BPCL,PETROCHEM,,2016/06/15 16:15:08.617,2016/11/02,69988.59
C-100004,HPCL,HPCL,PETROCHEM,,2016/06/15 16:15:08.630,2016/07/21,32743.33
C-100005,INDIAN OIL CORPORATION LTD (MARKETING DIVISION),IOCL,PETROCHEM,,2016/06/15 16:15:08.633,2016/10/10,141583.02
C-100008,ASIAN PAINTS,ASIAN PAINTS,CHEMICALS,,2016/06/15 16:15:08.650,2016/05/25,1893.08
C-100014,GPIL,GODREJ,INFRASTRUCTURE,,2016/06/15 16:15:08.690,2016/09/23,7.15
C-100015,KITCHEN APPL,VIDEOCON,CONSUMER GOODS,,2016/06/15 16:15:08.697,2016/09/29,106.54
C-100018,SUPREME INDUSTRIES,Bajrangmal Surajmal Taparia & Mahaveer Prasad Taparia,PETROCHEM & Industrial Plastics,"612, Raheja Chamber, Nariman Point, Mumbai 400021",2016/07/14 14:28:43.153,2016/07/12,101.51
C-100019,SUPREME PETROCHEM LTD,TAPARIA,PETROCHEM,,2016/06/15 16:15:08.720,2016/05/26,1037.47
C-100020,VALUE INDUSTRIES LTD.,VIDEOCON,CONSUMER GOODS,,2016/06/15 16:15:08.727,2016/09/29,29.98
C-100021,VIDEOCON INTL,VIDEOCON,CONSUMER GOODS,,2016/06/15 16:15:08.730,2016/09/29,10510.2
C-100023,CEAT LTD,RPG,ENGINEERING GOODS,,2016/06/15 16:15:08.753,2016/09/30,1235.63
C-100028,TATA CHEMICALS LTD,TATA,CHEMICALS,,2016/06/15 16:15:08.873,2016/09/07,2707.76
C-100029,TATA INTERNATIONAL LTD,TATA,TRADING,,2016/06/15 16:15:08.880,2016/08/24,391.17
C-100030,TCS LTD,TATA,SOFTWARE,,2016/06/15 16:15:08.890,2016/10/21,27956.6
C-100040,KEC INTERNATIONAL LTD,RPG,ENGINEERING GOODS,,2016/06/15 16:15:08.813,2016/09/30,261.62
C-100045,COASTAL GUJRAT POWER LTD.,TATA,POWER,"Coastal Gujarat Power Limited, Corporate Centre 34 SantTukaram",2016/07/19 12:50:59.883,2016/11/01,6449.05
C-100048,JSW ENERGY (RATNAGIRI) LTD,JSW,POWER,"JSW Centre, Bandra Kurla Complex, Bandra (East), Mumbai 400026",2016/08/26 16:04:36.457,2016/09/16,4250.1
C-100050,L  and T LTD,L&T,ENGINEERING GOODS,,2016/07/29 16:10:44.650,2016/08/03,5153.9
C-100059,AFCONS INFRA LTD.,SHAPOORJI PALLONJI,INFRASTRUCTURE,,2016/06/15 16:15:09.013,2016/07/11,833.73
C-100061,FORCE MOTORS LTD,FIRODIA,AUTO,,2016/06/15 16:15:09.023,2016/10/14,892.98
C-100065,TATA MOTORS,TATA,AUTO,,2016/06/15 16:15:09.070,2016/09/29,403.44
C-100066,ZUARI AGRO CHEMICALS LIMITED,ADVENTZ,AGROCHEM,,2016/06/15 16:15:09.077,2016/10/06,7432.15
C-100069,GLENMARK PHARMACEUTICALS LIMITED,GLENMARK,PHARMA,,2016/06/15 16:15:09.030,2016/08/04,3606.64
C-100077,VODAPHONE INDIA LTD. & ITS SUBSIDIARIES,VODAFONE,TELECOM,,2016/06/15 16:15:09.137,2016/09/15,0
C-100081,CROMPTON  and  GREAVES,,ENGINEERING GOODS,,2016/06/15 16:15:09.153,2016/07/05,55870.4
C-100082,ESSAR OIL,,PETROCHEM,,2016/06/15 16:15:09.160,2016/10/19,6.71
C-100083,JAIN IRRIGATION SYSTEMS LTD.,JAIN,ENGINEERING GOODS,,2016/06/15 16:15:08.780,2016/08/09,1003.98
C-100087,RELIANCE INDUSTRIES LTD,,PETROCHEM,,2016/06/15 16:15:09.180,2016/09/06,6752.51
C-100088,UNIVERSAL CABLES,,POWER CABLES,,2016/06/15 16:15:09.193,2016/08/01,29.19
C-100089,RELIANCE JIO INFOCOMM LIMITED,,TELECOM,,2016/06/15 16:15:09.187,2016/09/06,127.53
C-100091,CENTURY TEXTILES & INDUSTRIES,B K BIRLA GROUP,TEXTILE,"CENTURY BHAVAN, DR. ANNIE BESANT ROAD, WORLI, MUMBAI 400 030",2016/06/15 16:15:09.203,2016/06/27,51.99
C-100093,LA FARGE India,"LAFARGE S.A., FRANCE",CEMENT,,2016/06/15 16:15:09.217,2016/08/24,338.75
C-100099,JSW STEEL LTD,,METAL MANUFACTURING,,2016/06/15 16:15:09.263,2016/10/05,0
C-100103,WELSPUN MAXSTEEL LTD,,METAL MANUFACTURING,,2016/06/15 16:15:09.287,2016/10/05,0
C-100104,AMBA RIVER COKE LTD,,METAL MANUFACTURING,,2016/06/15 16:15:09.247,2016/10/05,5527.39
C-100105,JSW STEEL COATED LTD,,METAL MANUFACTURING,,2016/06/15 16:15:09.257,2016/10/05,19778.4
C-100108,ESSAR STEEL,,STEEL,,2016/06/15 16:15:09.310,2016/10/19,189.95
C-100114,VEDANTA  LTD,,METAL MANUFACTURING,,2016/06/15 16:15:09.347,2016/08/12,0
C-100117,INDIABULLS HOUSING FINANCE LIMITED,,FINANCIAL SERVICES,,2016/06/15 16:15:09.363,2016/10/07,0
CH-100001,Indian  Potash Limited,PS Gahlaut,Fertilizer Trading,"684-690, Seethakathi Business Centre, 1st Floor, Anna Salai, Chennai, Tamil Nadu-600006",2016/06/13 13:47:38.297,2016/06/03,5650.49
CH-10006,COGNIZANT TECHNOLOGY SOLUTIONS INDIA PRIVATE LIMITED,COGNIZANT TECHNOLOGY SOLUTIONS INDIA PRIVATE LIMITED,Information Technology,"Alwarpet, Chennai",2016/08/11 16:58:43.843,2016/09/12,1392.43
CH-20004,FARIDA SHOES PVT LTD,FARIDA SHOES PVT LTD,Leather,To be filled,2016/06/17 14:16:04.883,2016/10/18,678.09
CH-20008,AVT MCCORMICK  ING PVT LTD,AVT MCCORMICK  ING PVT LTD,Spices,To be filled,2016/06/17 14:16:04.910,2016/07/25,434.99
CH-20009,SFO TECHNOLOGIES PVT.LTD,SFO TECHNOLOGIES PVT.LTD,Information Technology,To be filled,2016/06/17 14:16:04.917,2016/07/26,372.49
CH-20010,KITEX GARMENTS LTD,KITEX GARMENTS LTD,Textiles,To be filled,2016/06/17 14:16:04.920,2016/07/25,365.35
CH-20011,P.A. FOOTWEAR PVT. LTD,P.A. FOOTWEAR PVT. LTD,Leather,To be filled,2016/06/17 14:16:04.930,2016/07/22,309.06
CH-20131,Bee Pee Products,P Venkateswaran,Leather,Rajapalayam,2016/06/23 13:39:00.747,2016/06/03,0
D-1000001,NTPC LTD.,"MR. GURMEET SINGH, CMD",Power Generation,"Scope Complex, Lodhi Institutional Area, ew Delhi-3",2016/07/18 18:32:49.283,2016/10/25,12932.79
H-100001,Avanti Feeds,INDRA ALLURI,FISH PROCESSING,"G 2, Concorde Apartments,Somajigua, Hyderabad-500082",2016/08/11 18:47:21.540,2016/08/17,483.88
H-100003,NSL Textiles,PRABHAKARA  M,TEXTILES,"4 th floor, NSL Icon, Road no 12, Banjara Hills- 500034",2016/06/13 17:08:26.900,2016/10/31,0
H-100021,Ra Chem Pharma Limited,Laxmi Ra holdings and investments Pvt Ltd,PHARMACEUTICALS,"Plot No: 26 & 27, Techno Industrial Estate, Balanagar,Hyderabad",2016/06/13 17:08:26.957,2016/08/16,116.1
H-100027,Amar Raja Batteries,Ramchandra Galla,BATTERY MANUFACTURING,"Terminal A 1-18/1/AMR/NR NANAKRAMGUDA, Gachibowli",2016/06/13 17:08:27.003,2016/05/05,138.75
H-100028,Jai Raj ispat,P Srinivas Kumar,STEEL MANUFACRING,"8 Phase III IDA Jeedimetla,City: Hyderabad,Dist: Hyderabad,",2016/06/13 17:08:27.010,2016/05/25,22.16
H-100034,Virchow Petrochemicals,Prasanth Nandigala,PETROCHEMICALS,"Plot No. 10, SV Co-op Industrial Estate, IDA Jeedimetla,",2016/06/13 17:08:27.053,2016/07/13,20.82
H-100036,MYLAN LABORATORIES LTD. (FORMERLY MATRIX LABORATORIES LTD),B Haribabu,Pharmaceuticals,"Plot No 564/A/22, Road No 92, Jubilee Hills, Hyderabad, Telangana 500034",2016/06/13 16:49:10.950,2016/10/19,0
H-100038,L AND T METRO RAIL,L and T,Infrastructure,"Hyderabad Metro Train Depot, Nagole, IDA Uppal, Uppal, Hyderabad, Telangana 500039",2016/06/13 16:49:10.960,2016/07/15,0
H-100039,AUROBINDO PHARMA LTD,K Govindarajan Narayanan,Pharmaceuticals,"Water Mark Building, Plot No. 11, Survey no.9,, Kondapur, Hitech City,, Hyderabad, Telangana 500084",2016/06/13 16:49:10.967,2016/10/27,0
H-100041,KSK MAHANADI POWER CO. LTD.,Kishore Sethuraman,Infrastructure,"8-2-293/82/A/476, No 22 Rd, Jawahar Colony, Jubilee Hills, Hyderabad, Telangana 500033",2016/06/13 16:49:10.980,2016/08/02,0
H-100042,NAVA BHARAT VENTURES LTD,Ashok Devineni,Manufacturing,"6-3-1109/1, Nava Bharat Chamber, Lakdikapul, Raj Bhavan Road, Somajiguda, Somajiguda, Hyderabad, Andhra Pradesh 500082",2016/06/13 16:49:10.987,2016/10/26,0
H-100044,SIMHAPURI ENERGY LIMITED,Krishnaiah Nama,Power,"6-3-866/2, Above Canara Bank Floor-3 Greenlands, Begumpet, Begumpet, Hyderabad, Telangana 500016",2016/06/13 16:49:11,2016/10/19,3050.68
K-100015,Birla Corporation Ltd,Harsh Vardhan Lodha,Mfg of Cement,KOLKATA,2016/06/13 12:33:17.163,2016/08/22,35.4
K-100016,Coal India,GoI,Mining - Coal,KOLKATA,2016/06/13 12:27:59.063,2016/08/11,55.72
K-100030,LA OPALA RG LIMITED,Sushil Jhunjhunwala,MFG. OF GLASS AND GLASS PRODUCTS,"230A, AJC Bose Road, Chitrakoot Building, 10th Floor, Kolkata",2016/06/17 09:01:54.913,2016/10/03,119.83
K-100201,Himadri Chemicals & Industries,Anurag Choudhary,MFG OF COKE OR COKE OVEN PRODUCTS,Kolkata,2016/07/13 12:23:46.753,2016/11/02,1449.95
